classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"RandomForest (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,1)",1,0.4659,0.4347,23.0667,8,39,0.9856,0.8609,0.6391
"RandomForest (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,2)",2,0.3247,0.2853,25.4,11,49,0.9844,0.8493,0.6592
"RandomForest (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,3)",3,0.2994,0.2715,28.6,14,50,0.9842,0.8522,0.6441
"RandomForest (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,4)",4,0.2573,0.2219,27.5667,10,54,0.9856,0.8493,0.6172
"RandomForest (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,5)",5,0.2163,0.1887,27.9333,13,50,0.9808,0.8362,0.6648
"RandomForest (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,6)",6,0.2201,0.1899,27.9667,13,62,0.9806,0.8275,0.6465
"RandomForest (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,7)",7,0.2257,0.1849,29.0333,10,56,0.9797,0.8261,0.6367
"RandomForest (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,8)",8,0.2025,0.182,29.5333,14,47,0.9831,0.8232,0.5936
"RandomForest (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,9)",9,0.2121,0.167,25.8667,9,50,0.9839,0.8406,0.5939
"RandomForest (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,10)",10,0.2101,0.1735,27.6667,14,62,0.9808,0.8348,0.5932
"RandomForest (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,12)",12,0.1765,0.1479,24.7,15,40,0.985,0.8536,0.5948
"RandomForest (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,14)",14,0.1687,0.1359,24.3704,14,46,0.9815,0.8599,0.5942
"RandomForest (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,16)",16,0.1551,0.1267,27.0833,10,53,0.9812,0.8533,0.6633
"RandomForest (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,18)",18,0.1613,0.1328,22.381,12,32,0.9798,0.8654,0.6376
"RandomForest (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,20)",20,0.1836,0.1385,25.1905,12,56,0.9786,0.8571,0.6017
"LogisticRegression (LogisticRegression(C=0.097, max_iter=100000, penalty='l1', solver='liblinear'))",Renal,"trains-p-diff(120,1)",1,0.9411,0.8717,24.8333,17,33,0.8681,0.8768,0.633
"LogisticRegression (LogisticRegression(C=0.097, max_iter=100000, penalty='l1', solver='liblinear'))",Renal,"trains-p-diff(120,2)",2,0.8834,0.8229,25.5667,17,33,0.8697,0.871,0.6266
